e;PDF;ec6;pdfc6;dC;LC;dS;LS;dCH;LCH;dIP;LIP
;;;;84.710246;2.000258755;294.68956;1.999881731;141.759539;1.999560988;189.428981;2.000142988
;;;;84.709495;2.000258755;294.854577;1.999828741;141.922457;1.999962173;189.759685;2.000036759
;;;;84.874956;2.000207608;295.019594;1.99977575;142.086875;1.999455101;189.92493;1.999525599
;;;;84.707994;2.000258755;295.350826;1.99966977;142.416008;1.999803348;190.254878;1.999877414
;;;;85.039666;2.000156462;295.847509;1.99997334;142.247246;1.99985629;189.920723;1.999983644
;;;;85.205127;2.000105315;296.012526;1.999920352;142.410914;1.999803348;190.417642;1.999824299
;;;;85.204376;2.000105315;296.177543;1.999867363;142.574582;1.999750406;190.748346;1.99971807
;;;;85.369837;2.000054169;296.508775;1.999761386;142.572035;1.999750406;190.74662;1.99971807
;;;;85.369087;2.000054169;296.673792;1.999708397;142.901917;1.999644523;191.077324;1.999611841
;;;;85.202124;2.000105315;296.838809;1.999655409;142.89937;1.999644523;191.241057;2.000016831
;;;;85.367585;2.000054169;297.003826;1.99960242;142.896824;1.999644523;191.239331;2.000016831
;;;;85.533046;2.000003022;297.334294;1.999959046;142.894277;1.999644523;191.237605;2.000016831
;;;;85.532295;2.000003022;297.665526;1.999853073;143.057944;1.999591582;191.734524;1.999857492
;;;;85.697756;1.999951876;297.498114;1.999906059;143.054648;2.000045769;191.732798;1.999857492
;;;;85.697005;1.999951876;297.99556;1.999747099;143.218316;1.999992829;191.565613;1.999452497
;;;;85.696254;1.999951876;297.994363;1.999747099;143.381984;1.999939889;191.729347;1.999857492
;;;;85.529292;2.000003022;297.993165;1.999747099;143.379437;1.999939889;191.727621;1.999857492
;;;;85.528541;2.000003022;298.157418;2.000156772;143.709319;1.999834009;192.389999;2.000103205
;;;;85.860214;1.99990073;298.489414;1.999588138;143.706772;1.999834009;192.389029;1.99964504
;;;;85.693251;1.999951876;298.653667;1.999997816;143.704226;1.999834009;192.221088;1.999698153
;;;;85.858712;1.99990073;298.65247;1.999997816;144.034108;1.99972813;192.717251;1.999996982
;;;;86.024173;1.999849583;298.817487;1.999944831;143.865346;1.999781069;192.54931;2.000050093
;;;;85.857211;1.99990073;298.982504;1.999891845;144.029014;1.99972813;192.880014;1.99994387
;;;;86.022672;1.999849583;299.313735;1.999785875;144.026467;1.99972813;192.878288;1.99994387
;;;;86.021921;1.999849583;299.478752;1.99973289;143.857706;1.999781069;192.544133;2.000050093
;;;;85.854959;1.99990073;299.31134;1.999785875;144.021374;1.99972813;192.708622;1.999996982
;;;;86.351977;2.00027204;299.476357;1.99973289;144.185041;1.99967519;192.873111;1.99994387
;;;;86.18588;1.999798437;299.807589;1.99962692;144.34796;2.000076498;193.0376;1.999890759
;;;;86.184264;2.000323185;299.805628;2.000089643;144.512377;1.99956931;193.368304;1.999784536
;;;;86.184379;1.999798437;299.805193;1.99962692;144.675295;1.999970621;193.366578;1.999784536
;;;;86.017416;1.999849583;299.969447;2.00003666;144.340319;2.000076498;193.198637;1.999837648
;;;;86.182877;1.999798437;300.134464;1.999983676;144.338522;1.99962225;193.196912;1.999837648
;;;;86.182127;1.999798437;300.133266;1.999983676;144.335975;1.99962225;193.361401;1.999784536
;;;;86.181376;1.999798437;300.464498;1.999877709;144.333428;1.99962225;193.52589;1.999731425
;;;;86.014413;1.999849583;300.4633;1.999877709;144.497096;1.99956931;193.191734;1.999837648
;;;;86.34522;2.00027204;300.628317;1.999824726;144.660764;1.99951637;193.522438;1.999731425
;;;;86.345335;1.999747291;300.793334;1.999771742;144.658217;1.99951637;193.686927;1.999678314
;;;;86.343719;2.00027204;300.791373;2.000234523;144.821135;1.999917683;193.85066;2.000083429
;;;;86.342968;2.00027204;300.957154;1.999718759;144.818588;1.999917683;193.682719;2.000136539
;;;;86.508429;2.000220896;300.955956;1.999718759;144.982256;1.999864745;194.01418;1.999572091
